Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L3_M3_1310nm,0.5864675594022629,27.218904,0.44717744,0.00084837835,527.09674,0.7932337797011315
L1_M1_1550nm,0.26552746804024596,13.676943,0.02313021,0.0009919398,23.31816,0.4746872986925931
L4_M3_1310nm,0.3603409131956846,25.993683,0.36349136,0.0009143779,397.5286,0.6801704565978424
L2_M1_1550nm,0.16897653327084552,16.438602,0.028666433,0.0006508987,44.04131,0.4954533218627024
L3_M1_1550nm,0.1703714473039843,14.892488,0.025577387,0.0008291011,30.84954,0.4574979118004907
L5_M2_1550nm,0.11045072461283761,14.569802,0.03597826,0.0012562034,28.640474,0.4194704194124369
L2_M3_1550nm,0.1796797351415756,16.363588,0.04334217,0.0010012714,43.287132,0.4989295818594993
L2_M3_1310nm,0.3503613351658775,24.966927,0.2743763,0.00087428675,313.82874,0.6751806675829387
L5_M1_1550nm,0.03290955561553137,9.717634,0.0074379593,0.00079376204,9.370515,0.259395635814243
L4_M1_1550nm,0.05721255688425545,11.122342,0.011026649,0.00085154834,12.94894,0.3066648371445966
L4_M1_1310nm,0.19206441125667964,19.278095,0.069025524,0.00081507995,84.685585,0.577984574841444
L4_M2_1550nm,0.06350474841415614,12.640055,0.0229218,0.0012480826,18.365612,0.3477537298551188
L5_M1_1310nm,0.263026620838627,21.330269,0.10694732,0.00078730506,135.83974,0.6315133104193135
L5_M3_1310nm,0.7383648242480637,25.663696,0.36419383,0.0009884691,368.4423,0.8691824121240319
L1_M2_1550nm,0.22193634324266737,14.418521,0.024570044,0.0008882882,27.659992,0.47143119480706364
L5_M3_1550nm,0.09441043422421454,13.763461,0.029863635,0.0012554418,23.787352,0.39129174493650914
L3_M1_1310nm,0.07172957651859359,13.001819,0.01610195,0.00080667145,19.960978,0.36091025468233146
L2_M2_1310nm,0.3018671171529731,22.585857,0.1516438,0.0008360629,181.37846,0.6509335585764866
L1_M3_1550nm,0.29326748182461726,14.507562,0.03449621,0.0012218424,28.232946,0.5093227889641427
L3_M2_1310nm,0.3011499255937116,21.168076,0.13308138,0.0010169739,130.86017,0.6505749627968558
L3_M2_1550nm,0.11757907499431271,15.168131,0.0375866,0.0011434576,32.871006,0.43799279744207215
L2_M1_1310nm,0.14888313851003737,14.396259,0.020858219,0.00075796875,27.518574,0.4343480638724808
L2_M2_1550nm,0.14495606810043252,16.49906,0.058465082,0.0013091536,44.658688,0.4849545140573879
L1_M3_1310nm,0.3836288145351818,19.052074,0.06813738,0.00084757456,80.391014,0.6681162561559881
L3_M3_1550nm,0.1533789246837411,16.608849,0.05036125,0.0010995417,45.80204,0.49191067663630417
L4_M3_1550nm,0.3015138663535637,18.676895,0.08551608,0.0011597335,73.7377,0.6176793057563564
L1_M2_1310nm,0.08681608819478125,12.453743,0.014369943,0.00081673416,17.594395,0.3547516245817809
L4_M2_1310nm,0.430853590354005,22.633074,0.1879279,0.0010249056,183.36118,0.7154267951770025
L1_M1_1310nm,0.12234707400082494,12.708167,0.012833349,0.0006878968,18.655922,0.37887770794271897
L5_M2_1310nm,0.39472280805435334,22.512985,0.18950918,0.0010625072,178.36038,0.6973614040271767
