Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L1_M2_1330nm,0.22191903228389143,12.934465,0.026970088,0.0013722582,19.653801,0.4343211513500756
L5_M3_1550nm,0.1286087805704982,13.704931,0.029560443,0.0012595567,23.468925,0.4069276836850599
L3_M2_1330nm,0.6148761227175704,21.5761,0.16397929,0.0011407199,143.75072,0.8074380613587853
L4_M1_1550nm,0.05510404796850306,11.188274,0.010573904,0.0008042812,13.147023,0.3072588895333391
L3_M2_1550nm,0.07301571656763536,12.923655,0.022757495,0.0011608043,19.604937,0.35959921623021357
L5_M1_1550nm,0.06637830948906745,10.801717,0.010423871,0.00086667703,12.027399,0.30323208081760805
L5_M2_1330nm,0.8143482307186203,24.636875,0.32435703,0.0011151565,290.86237,0.9071741153593101
L1_M1_1330nm,0.10933140408952467,9.913849,0.008814674,0.0008991277,9.803584,0.302511918008126
L2_M2_1330nm,0.7323779090372103,25.10806,0.3039595,0.00093758275,324.19482,0.8661889545186052
L4_M1_1330nm,0.33524799436545466,16.820368,0.04622642,0.000961288,48.088,0.5881331865500217
L5_M1_1330nm,0.33995331938149803,16.502668,0.042674087,0.00095476705,44.695812,0.5825433811301106
L4_M3_1330nm,0.9122095321825354,24.588512,0.31358564,0.0010901969,287.6413,0.9561047660912677
L5_M2_1550nm,0.3871912148367648,18.361258,0.08354395,0.0012183983,68.568665,0.6526270402854326
L3_M1_1330nm,0.7207161620143632,21.086468,0.10975107,0.00085459783,128.42422,0.8603580810071816
L5_M3_1330nm,0.8780683549610693,22.92143,0.22761498,0.001161603,195.94904,0.9390341774805346
L4_M2_1330nm,0.607355570628961,21.994637,0.17954148,0.0011342303,158.29367,0.8036777853144805
L2_M2_1550nm,0.3118899531931471,17.635561,0.04982194,0.0008587457,58.017105,0.5968340072915351
L2_M3_1550nm,0.1741274726454836,15.128203,0.030219788,0.0009278357,32.570194,0.4652688270839265
L1_M1_1550nm,0.13422210997508532,11.646656,0.012700712,0.00086928566,14.610517,0.358277449936502
L4_M2_1550nm,0.5233339811335533,19.708971,0.108624816,0.001161534,93.51841,0.7543912601953014
L4_M3_1550nm,0.6570471477810524,20.293085,0.11592644,0.0010836124,106.98145,0.8285235738905262
L3_M3_1330nm,0.9408006614388635,25.670263,0.37622878,0.0010195901,369.00003,0.9704003307194318
L2_M3_1330nm,0.7701624798962473,22.293806,0.16826475,0.0009922303,169.58235,0.8850812399481236
L3_M1_1550nm,0.08965746106636012,12.137866,0.012367647,0.00075596286,16.360125,0.34827538103824596
L2_M1_1330nm,0.4003208870446071,18.601618,0.056277953,0.0007765628,72.47058,0.6652008888500623
L1_M3_1330nm,0.12261685587696586,11.545901,0.016977912,0.0011893075,14.275459,0.34995596040155663
L2_M1_1550nm,0.09956831349650035,13.149828,0.013584331,0.0006577418,20.652985,0.3785298497166187
L1_M3_1550nm,0.1378902768408951,12.212164,0.018657964,0.0011211089,16.64242,0.374249248470649
L1_M2_1550nm,0.1672765544518696,12.050567,0.020759324,0.0012946626,16.034544,0.384902444057905
L3_M3_1550nm,0.17613384039358604,15.354055,0.040446565,0.0011788977,34.3088,0.4719182993529057
