mode_idx,wavelength_idx,focus_ratio,peak_intensity,total_intensity,centroid_y,centroid_x,peak_position_y,peak_position_x,correct,region_0_focus_ratio,region_0_efficiency,region_0_is_target,region_1_focus_ratio,region_1_efficiency,region_1_is_target,region_2_focus_ratio,region_2_efficiency,region_2_is_target
0,0,0.344249427318573,1.0,845.1806030273438,152.04743646343636,151.8858092504448,159,149,True,0.00311417318880558,0.0014888092409819365,True,0.0612022764980793,0.029259297996759415,False,0.00207905494607985,0.0009939448209479451,False
1,0,0.47624507546424866,1.0,391.1408996582031,152.6530963546497,151.01790431336195,151,149,True,0.0035991861950606108,0.0023271155077964067,False,0.19165068864822388,0.12391503900289536,True,0.003077765926718712,0.001989982323721051,False
2,0,0.30755487084388733,1.0,1404.6832275390625,151.9358479859386,152.00741730382924,144,157,True,0.0047967215068638325,0.0030805261339992285,False,0.028209343552589417,0.018116461113095284,False,0.00902136042714119,0.00579365249723196,True
0,0,0.24127504229545593,1.0,1744.14892578125,155.41591636699064,148.65531721072432,158,148,True,0.004892345517873764,0.002333484822884202,True,0.039299771189689636,0.01874467357993126,False,0.0043746489100158215,0.0020865609403699636,False
1,0,0.4410066306591034,1.0,252.8160400390625,152.43799407943447,150.48716590803136,150,151,True,0.001619966235011816,0.0010404428467154503,False,0.24135543406009674,0.15501344203948975,True,0.003843722864985466,0.002468677470460534,False
2,0,0.1601153314113617,1.0,353.0050048828125,163.04495168387328,149.1346856661367,199,148,True,0.003493601456284523,0.002241989132016897,False,0.009233289398252964,0.005925385281443596,False,0.030652236193418503,0.019670814275741577,True
0,0,0.16991817951202393,1.0,1394.67236328125,155.67186069508952,150.0022268202001,99,152,True,0.008155307732522488,0.003869015257805586,True,0.0206900667399168,0.009815716184675694,False,0.00624128757044673,0.002960972022265196,False
1,0,0.39617371559143066,1.0,226.7610321044922,154.26230148443926,149.62809869977812,150,150,True,0.0016810904489830136,0.0010777029674500227,False,0.26552361249923706,0.17022022604942322,True,0.0027263774536550045,0.0017478090012446046,False
2,0,0.10956940799951553,1.0,226.2386016845703,165.72502234201175,150.1326115704321,198,149,True,0.002437642076984048,0.001561876037158072,False,0.008084144443273544,0.0051797726191580296,False,0.04920663684606552,0.0315282829105854,True
0,0,0.1678537130355835,1.0,1789.5135498046875,149.3312988149239,149.86323077714783,104,148,True,0.015347140841186047,0.007235934492200613,True,0.03505655378103256,0.01652861200273037,False,0.002932832343503833,0.0013827841030433774,False
1,0,0.36021608114242554,1.0,203.6713409423828,151.2938520335627,149.27980521882554,148,148,True,0.0019541955552995205,0.0012440764112398028,False,0.264518141746521,0.16839705407619476,True,0.0031049440149217844,0.001976663712412119,False
2,0,0.08199615031480789,1.0,208.22169494628906,164.8219993651219,149.97804405185974,200,151,True,0.002140190452337265,0.0013616344658657908,False,0.004453982692211866,0.002833717968314886,False,0.07338334619998932,0.04668803513050079,True
0,0,0.1021297425031662,1.0,586.1553955078125,143.99789491702577,149.30759128451368,103,152,True,0.009842894971370697,0.004629855509847403,True,0.01045496016740799,0.004917755722999573,False,0.0026449542492628098,0.0012441212311387062,False
1,0,0.3396020829677582,1.0,217.99949645996094,150.18902408879657,149.2458618226467,150,148,True,0.0024773427285254,0.0015715783229097724,False,0.24802464246749878,0.15734204649925232,True,0.0022331522777676582,0.0014166687615215778,False
2,0,0.08242123574018478,1.0,246.89100646972656,161.59306041195157,149.65639460884717,199,150,True,0.001121637411415577,0.0007117745699360967,False,0.0025020805187523365,0.0015877833357080817,False,0.02797052077949047,0.01774968020617962,True
