Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L1_M3_1550nm,0.2206738342413179,18.291763,0.05474526,0.00081127905,67.48019,0.567630993801796
L5_M3_1550nm,0.7889959066459963,26.164742,0.36517608,0.0008831374,413.4986,0.8944979533229982
L4_M2_1550nm,0.4166670400791008,27.565214,0.43843895,0.00076804665,570.84937,0.7083335200395504
L5_M2_1550nm,0.629405022167119,27.125319,0.4259716,0.0008257507,515.8598,0.8147025110835595
L1_M2_1550nm,0.5957135618780391,25.607697,0.23140307,0.0006362085,363.72205,0.7978567809390196
L2_M3_1550nm,0.6595701448572151,25.995049,0.2642894,0.0006646221,397.65366,0.8297850724286076
L3_M2_1550nm,0.6713989617182985,27.63596,0.39116645,0.00067416386,580.2246,0.8356994808591492
L4_M1_1550nm,0.17775245699707218,16.633024,0.03348436,0.00072700874,46.057713,0.5047018338909921
L5_M1_1550nm,0.6170354253323947,22.00283,0.114374734,0.00072118547,158.59268,0.8085177126661973
L4_M3_1550nm,0.8905741839386674,27.267303,0.44298935,0.0008311184,533.0039,0.9452870919693337
L2_M1_1550nm,0.1679538155959239,17.808983,0.035132423,0.0005818484,60.38072,0.5292014909469183
L2_M2_1550nm,0.6156549759077018,28.074806,0.3449737,0.0005374096,641.9195,0.807827487953851
L3_M3_1550nm,0.79092626897059,27.408516,0.40547296,0.0007363942,550.61945,0.895463134485295
L1_M1_1550nm,0.46813328928152514,20.335327,0.072265364,0.0006689561,108.02707,0.7340666446407625
L3_M1_1550nm,0.255593757116018,18.480928,0.04736448,0.0006719855,70.48438,0.5898200771625928
