Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L5_M1_850nm,0.7601005810659924,35.219627,0.29777965,8.952254e-05,3326.3093,0.8800502905329962
L3_M1_850nm,0.5397823261075629,39.6717,0.30232355,3.260634e-05,9271.926,0.7698911630537815
L3_M2_850nm,0.5843425325633906,45.40968,0.44318193,1.2753049e-05,34751.055,0.7921712662816953
L1_M1_850nm,0.15568177722224327,49.1492,0.03056766,3.7182826e-07,82209.086,0.5778408886111216
L4_M3_850nm,0.5552885708568926,35.306736,0.32477328,9.569888e-05,3393.7,0.7776442854284463
L4_M1_850nm,0.5653156360599464,37.099766,0.29851148,5.8208265e-05,5128.335,0.7826578180299733
L3_M3_850nm,0.49696590645536304,38.85513,0.30823815,4.0121173e-05,7682.6807,0.7484829532276815
L1_M3_850nm,0.1463258968015273,44.818684,0.08547586,2.8182226e-06,30329.705,0.5731629484007636
L2_M1_850nm,0.38654491969512134,40.90947,0.18490918,1.4997233e-05,12329.553,0.6932724598475607
L2_M2_850nm,0.3875534135377353,51.73519,0.41265574,2.767379e-06,149114.28,0.6937767067688676
L5_M3_850nm,0.6359399704745159,34.24023,0.3261624,0.0001228601,2654.7463,0.817969985237258
L2_M3_850nm,0.5157030231250772,43.58506,0.37299737,1.633802e-05,22830.023,0.7578515115625386
L1_M2_850nm,0.25478860698185657,49.58735,0.11682024,1.2846456e-06,90935.77,0.6273943034909283
L5_M2_850nm,0.42009675416445885,37.94302,0.32883674,5.2805415e-05,6227.33,0.7100483770822295
L4_M2_850nm,0.3717262835167887,42.216904,0.38006738,2.2812364e-05,16660.586,0.6858631417583944
