Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L3_M1_850nm,0.8680127033148328,43.235313,0.4001798,1.8998713e-05,21063.521,0.9340063516574164
L1_M2_850nm,0.5910229666616612,58.59875,0.41605932,5.744869e-07,724227.7,0.7955114833308305
L2_M3_850nm,0.8229397360149997,49.92379,0.63799775,6.492917e-06,98260.58,0.9114698680074999
L1_M3_850nm,0.5032686272726349,49.7509,0.23716174,2.5116233e-06,94425.68,0.7516343136363175
L3_M2_850nm,0.6481976040044577,51.406273,0.66595113,4.817423e-06,138238.05,0.8240988020022288
L2_M1_850nm,0.6164108674159916,48.621727,0.40594083,5.5755813e-06,72806.91,0.8082054337079958
L3_M3_850nm,0.8504994551000925,45.435196,1.2121991,3.467802e-05,34955.832,0.9252497275500462
L5_M3_850nm,0.8511168392257297,39.856483,0.9845758,0.00010176556,9674.941,0.9255584196128648
L1_M1_850nm,0.37449309715207424,58.332134,0.116342954,1.7081521e-07,681104.2,0.6872465485760371
L2_M2_850nm,0.6034575534108076,58.50929,0.48557997,6.844349e-07,709461.1,0.8017287767054038
L4_M2_850nm,0.7340632369511552,47.970726,0.9774312,1.559602e-05,62671.832,0.8670316184755775
L5_M1_850nm,0.7722298009179408,41.14861,0.85513526,6.564077e-05,13027.502,0.8861149004589703
L5_M2_850nm,0.6653277763030364,44.24019,1.0038937,3.781543e-05,26547.2,0.8326638881515183
L4_M3_850nm,0.7830257897112797,41.205086,0.83622855,6.336019e-05,13198.013,0.8915128948556399
L4_M1_850nm,0.8291254399448912,43.904533,1.0010307,4.073745e-05,24572.738,0.9145627199724455
