Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L2_M2_1550nm,0.29452623243234155,17.25139,0.05140838,0.0009680435,53.105442,0.5785478716845394
L2_M1_1550nm,0.14106348745439384,15.217844,0.02247187,0.00067585695,33.249447,0.4509778499226468
L2_M3_1550nm,0.19473618034783036,17.088787,0.047350507,0.0009256482,51.153893,0.5245877790662796
L5_M3_1550nm,0.1624181754597341,14.160597,0.032210257,0.0012357611,26.065117,0.4352240208391505
L2_M1_1310nm,0.23424062592222647,20.223845,0.05231839,0.0004969012,105.289314,0.6171203129611132
L4_M2_1550nm,0.3288605779494428,17.44501,0.06484421,0.0011678052,55.52657,0.600555507842977
L5_M3_1310nm,0.8976750982026138,24.980457,0.27780858,0.00088247,314.80795,0.9488375491013069
L3_M3_1310nm,0.8654798788128432,27.351713,0.3954087,0.0007275703,543.46454,0.9327399394064215
L1_M1_1310nm,0.17796201889496385,18.34276,0.032529145,0.0004764273,68.27725,0.5475499996780422
L3_M1_1550nm,0.09581743114421797,12.891351,0.01499074,0.00077034987,19.459652,0.37019249018644307
L5_M2_1310nm,0.49379325818053094,24.634598,0.24702092,0.0008497163,290.70987,0.7468966290902654
L1_M1_1550nm,0.16855248235578327,13.968494,0.01819406,0.0007295923,24.937298,0.43348858963904274
L3_M3_1550nm,0.15440625295660293,14.9486065,0.035329036,0.0011305014,31.250769,0.45091828875552314
L1_M2_1550nm,0.6189670591579519,20.48307,0.09030178,0.00080795895,111.76531,0.809483529578976
L2_M3_1310nm,0.8310242485217286,27.04813,0.31290823,0.000617453,506.77255,0.9155121242608644
L4_M3_1310nm,0.6961895529992961,25.561712,0.2938501,0.00081649714,359.89114,0.848094776499648
L3_M2_1310nm,0.7137079863870235,26.180689,0.3075428,0.0007410315,415.0199,0.8568539931935117
L4_M1_1310nm,0.7199503489616977,24.814749,0.20151706,0.0006650232,303.02258,0.8599751744808488
L3_M1_1310nm,0.5183546971010751,22.43048,0.10699145,0.0006113657,175.004,0.7591773485505375
L3_M2_1550nm,0.26399088763223316,17.724382,0.06531266,0.0011029585,59.215885,0.575105015749863
L4_M3_1550nm,0.05522623301089299,10.533005,0.013119551,0.0011604286,11.30578,0.2909382414844657
L2_M2_1310nm,0.6050243712114909,27.63545,0.34467047,0.0005940992,580.15643,0.8025121856057454
L4_M1_1550nm,0.05975436157385911,10.912859,0.010286047,0.00083360926,12.33917,0.3026986667831759
L5_M1_1310nm,0.8261153460112693,23.672775,0.16604078,0.0007127499,232.95798,0.9130576730056347
L1_M3_1550nm,0.35352686816020196,18.122265,0.057343945,0.00088361074,64.89729,0.6298200675525436
L4_M2_1310nm,0.6585036185185477,27.32711,0.44358984,0.00082086265,540.3947,0.8292518092592738
L1_M2_1310nm,0.5069929272948345,26.20499,0.1597326,0.00038273179,417.34866,0.7534964636474173
L1_M3_1310nm,0.632957880237427,22.32111,0.11600127,0.0006797539,170.65187,0.8164789401187136
L5_M2_1550nm,0.3464972075402786,17.51282,0.06861486,0.0012165678,56.40036,0.6110690979450966
L5_M1_1550nm,0.04141220284044296,10.46599,0.009363233,0.0008410597,11.132662,0.282355859043894
