Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L3_M1_850nm,0.5990483543278589,56.568203,0.39187548,8.6362996e-07,453753.9,0.7995241771639294
L1_M2_850nm,0.45223469162327556,58.2992,0.5939844,8.787298e-07,675958.0,0.7261173458116378
L5_M1_850nm,0.7439423048154075,48.884987,0.44912067,5.8058295e-06,77356.85,0.8719711524077037
L4_M3_850nm,0.7600080688000503,54.905586,0.93401504,3.0185286e-06,309427.25,0.8800040344000252
L5_M3_850nm,0.7578280633820724,49.140465,0.6834278,8.33003e-06,82043.86,0.8789140316910362
L4_M1_850nm,0.7691059007144713,54.34136,0.606413,2.2316822e-06,271729.1,0.8845529503572356
L4_M2_850nm,0.5155359847058717,58.715668,0.9088973,1.2216534e-06,743989.5,0.7577679923529359
L2_M3_850nm,0.4967910703499447,57.79022,0.6151809,1.0232485e-06,601203.8,0.7483955351749724
L1_M1_850nm,0.40899953830422264,58.246323,0.19245279,2.881987e-07,667778.1,0.7044997691521113
L2_M2_850nm,0.4379375021256278,58.503075,0.84309036,1.1900546e-06,708446.8,0.7189687510628139
L5_M2_850nm,0.6557544016823567,58.16664,0.83077544,1.267125e-06,655638.1,0.8278772008411783
L1_M3_850nm,0.2582511375309836,58.032604,0.13703181,2.1555648e-07,635711.8,0.6291255687654917
L3_M2_850nm,0.5600562351514167,58.324566,0.696471,1.0243456e-06,679918.0,0.7800281175757083
L3_M3_850nm,0.8524283085481787,58.518806,0.9646435,1.3567072e-06,711018.2,0.9262141542740894
L2_M1_850nm,0.36281711017779344,57.34233,0.2973272,5.482792e-07,542291.56,0.6814085550888968
