Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L4_M2_1550nm,0.08406610329106798,12.556762,0.021819819,0.001211086,18.016737,0.3559520892260241
L3_M3_1550nm,0.11162067719004248,12.401547,0.019380577,0.0011148384,17.384203,0.3658490243936663
L3_M2_1550nm,0.08437123018079737,12.043486,0.018170014,0.0011350284,16.008423,0.343272756127386
L2_M1_1550nm,0.07628537192956718,11.843712,0.01075852,0.00070368993,15.288722,0.33423549421139614
L1_M1_1550nm,0.19023255909195155,12.627545,0.016217904,0.00088560535,18.31279,0.4108049194252025
L5_M2_1310nm,0.35978002157716077,19.321125,0.09545281,0.0011160308,85.528824,0.6629181246305909
L5_M2_1550nm,0.0833631733952561,12.68034,0.02272341,0.0012258564,18.536764,0.3586900820284386
L3_M3_1310nm,0.6264207913109119,21.660414,0.14311627,0.00097644486,146.56871,0.8132103956554559
L1_M3_1310nm,0.09115271286316255,11.17773,0.010291002,0.0007846658,13.11514,0.3250195906368272
L3_M1_1310nm,0.0711065890978859,12.902214,0.015415537,0.0007902004,19.508389,0.35810865772719613
L4_M3_1550nm,0.061091522403434705,11.080631,0.013829748,0.0010783287,12.82517,0.3075615366438408
L5_M3_1550nm,0.06517704618278723,10.828532,0.014125187,0.0011671885,12.10189,0.30330182260425675
L2_M3_1550nm,0.11839829804607953,13.436545,0.021901615,0.0009927084,22.062487,0.3951127773628072
L2_M3_1310nm,0.43914808506743835,19.525677,0.08703853,0.00097083155,89.65359,0.7077159666765567
L5_M3_1310nm,0.517707149195336,18.810518,0.08565956,0.0011264816,76.041695,0.7291165192960017
L3_M1_1550nm,0.06595851891413047,10.822414,0.01006053,0.0008324909,12.084853,0.30353961345143476
L1_M3_1550nm,0.19756921637268832,13.96812,0.025960468,0.0010411193,24.93515,0.44798759871826555
L5_M1_1550nm,0.05197732965956944,10.766177,0.009995755,0.0008379109,11.929377,0.2951430942655147
L4_M3_1310nm,0.566539784797171,20.553616,0.11797578,0.0010385595,113.59559,0.7832698923985855
L2_M2_1310nm,0.39850482619196387,21.177118,0.11542829,0.0008802387,131.13293,0.699252413095982
L5_M1_1310nm,0.31508314293180045,16.92059,0.042010557,0.0008536887,49.21063,0.5805563016809728
L2_M1_1310nm,0.10356593165120498,14.020466,0.0181656,0.00071978563,25.237513,0.40229460613588996
L2_M2_1550nm,0.09620696830919001,12.379718,0.019625038,0.0011345893,17.29704,0.3575964298256765
L4_M2_1310nm,0.4883469320998278,21.766827,0.15569828,0.0010365756,150.20445,0.744173466049914
L1_M2_1550nm,0.20671118680897957,14.101511,0.024732886,0.00096188614,25.712904,0.4558933744046271
L1_M1_1310nm,0.12882061668764389,11.043461,0.00858547,0.0006751776,12.715869,0.34049681757157463
L4_M1_1310nm,0.2553783561025316,16.54748,0.037589166,0.0008323668,45.159378,0.5413761687891808
L3_M2_1310nm,0.521945519271189,21.33156,0.12935248,0.00095195987,135.88019,0.7609727596355945
L4_M1_1550nm,0.06740071874177006,11.153038,0.011065402,0.00084852264,13.040786,0.31252629807251464
L1_M2_1310nm,0.09458386261599389,11.0664215,0.010807729,0.0008454586,12.783275,0.323952463067259
