Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L1_M2_1550nm,0.5211273542231244,22.3359,0.14629284,0.000854345,171.23392,0.7605636771115623
L3_M1_1550nm,0.4262714832262194,20.339626,0.08068436,0.0007461507,108.13413,0.7131357416131097
L1_M1_1550nm,0.4229534082196969,18.865934,0.046909027,0.000609064,77.01822,0.683125069369019
L3_M3_1550nm,0.7904599309928446,25.76094,0.3282342,0.0008711435,376.78546,0.8952299654964223
L4_M1_1550nm,0.5992007813445712,23.882685,0.1668892,0.00068258983,244.49413,0.7996003906722856
L5_M1_1550nm,0.6148941912511288,21.868874,0.11567262,0.00075221737,153.77553,0.8074470956255644
L1_M3_1550nm,0.18563159046950234,14.934589,0.033112705,0.001063006,31.150064,0.4661805418053383
L2_M3_1550nm,0.6963102792372534,26.500814,0.32381147,0.0007247877,446.76733,0.8481551396186267
L2_M2_1550nm,0.6194883581878281,27.460968,0.31758386,0.00056985137,557.31,0.809744179093914
L3_M2_1550nm,0.6003187982892676,27.099346,0.36124352,0.0007044746,512.7843,0.8001593991446339
L2_M1_1550nm,0.15624892871078253,16.153585,0.021467736,0.00052050827,41.243793,0.48196411212531926
L5_M2_1550nm,0.7660401004771957,26.79955,0.41025868,0.0008572409,478.58038,0.8830200502385979
L4_M3_1550nm,0.8195006841562738,26.754114,0.4054967,0.00085620134,473.5997,0.9097503420781369
L5_M3_1550nm,0.7274078849745899,25.530613,0.3429148,0.0009596768,357.3232,0.863703942487295
L4_M2_1550nm,0.5475828315634452,26.888973,0.41242868,0.0008442117,488.53702,0.7737914157817226
