Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L2_M3_1550nm,0.735661846608812,26.058979,0.29446423,0.0007296837,403.5505,0.8678309233044059
L2_M1_1550nm,0.19323292539400252,16.767828,0.02992386,0.0006298467,47.50975,0.5158121743097027
L1_M2_1550nm,0.4730593239226469,20.36275,0.11001922,0.0010120308,108.71134,0.7365296619613234
L1_M1_1550nm,0.36297454437084486,17.694777,0.03341496,0.0005681505,58.813572,0.6238566736403479
L4_M2_1550nm,0.5528562000339261,26.721062,0.40348142,0.0008584547,470.009,0.776428100016963
L4_M1_1550nm,0.7031864638450365,22.99955,0.14415026,0.00072253775,199.50551,0.8515932319225182
L3_M2_1550nm,0.6218373031411895,27.75742,0.40726945,0.0006825584,596.6807,0.8109186515705947
L4_M3_1550nm,0.7916181049791591,25.153824,0.3116513,0.00095123233,327.629,0.8958090524895795
L5_M2_1550nm,0.8039269357799605,27.324417,0.4610773,0.0008537527,540.0596,0.9019634678899803
L3_M3_1550nm,0.7615008909855618,24.16833,0.23073469,0.00088364945,261.11563,0.8807504454927809
L3_M1_1550nm,0.1786027764575536,14.515986,0.019889934,0.0007031284,28.28777,0.45220104929292476
L5_M1_1550nm,0.13881215653947793,15.004852,0.027595336,0.0008716667,31.658127,0.4445273737218569
L2_M2_1550nm,0.5980543684964661,26.82095,0.30579862,0.0006358291,480.94467,0.799027184248233
L5_M3_1550nm,0.8926187336660701,26.16213,0.3916967,0.00094784395,413.25018,0.9463093668330351
L1_M3_1550nm,0.1391438493889795,13.928351,0.027603254,0.0011171852,24.707857,0.4177807097515576
