,Mode1,Mode2,Mode3
1310nm-Det1,0.6201631693610844,0.05457667324743565,0.0517928488616109
1310nm-Det2,0.08840524583978705,0.7295150079181398,0.06408904703885512
1310nm-Det3,0.06938142293266197,0.05190306556888149,0.7137301930458029
1550nm-Det1,0.07492428067761557,0.05187599959018946,0.05370375127784383
1550nm-Det2,0.07343884873736846,0.05991853375688202,0.05959441470815535
1550nm-Det3,0.07368703245148253,0.05221071991847155,0.057089745067731935
