Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L5_M3_850nm,0.533673079645371,36.351543,0.36688018,8.4990446e-05,4316.7227,0.7668365398226855
L1_M3_850nm,0.275665844424818,47.726753,0.069930226,1.1802925e-06,59248.215,0.6378329222124091
L3_M2_850nm,0.30392042134594266,51.611244,0.43250084,2.98444e-06,144918.6,0.6519602106729714
L5_M1_850nm,0.6179688815143182,37.83963,0.2989196,4.9157676e-05,6080.8325,0.8089844407571591
L1_M2_850nm,0.595576853722725,57.34246,0.39903122,7.3580173e-07,542308.06,0.7977884268613624
L4_M1_850nm,0.4307222173845146,41.123253,0.2988994,2.3078095e-05,12951.65,0.7153611086922573
L2_M1_850nm,0.2068565557100085,47.23049,0.04576096,8.6585646e-07,52850.516,0.6034282778550042
L3_M1_850nm,0.41963831042476285,45.273743,0.2465087,7.3191068e-06,33680.164,0.7098191552123814
L4_M2_850nm,0.32013591127798374,47.13566,0.3834343,7.415241e-06,51708.945,0.6600679556389919
L3_M3_850nm,0.6101584703932311,42.264004,0.39825708,2.3646295e-05,16842.262,0.8050792351966156
L2_M3_850nm,0.32151126111520245,46.65169,0.21589725,4.667431e-06,46256.12,0.6607556305576012
L1_M1_850nm,0.2804369956137936,51.19496,0.09059861,6.8805844e-07,131672.84,0.6402184978068968
L2_M2_850nm,0.4642612623674325,54.339394,0.43100032,1.5868578e-06,271606.12,0.7321306311837162
L5_M2_850nm,0.30433140221361743,40.714115,0.31828317,2.700238e-05,11787.227,0.6521657011068087
L4_M3_850nm,0.49520133292146207,38.842552,0.3255305,4.2494852e-05,7660.469,0.7476006664607311
