,Mode1,Mode2,Mode3
Detector1,0.9707418908825909,0.011489427417030853,0.01554533209467064
Detector2,0.020287086853775265,0.977261836244219,0.007281717011685447
Detector3,0.008971022263633801,0.011248736338750114,0.9771729508936439
