Mode,Layers,450nm,550nm,650nm
Mode_1,1,0.9537455439567566,0.8916657567024231,0.9549502730369568
Mode_1,2,0.897930383682251,0.7647702097892761,0.8375208973884583
Mode_1,3,0.8046586513519287,0.6694440245628357,0.6666131019592285
Mode_2,1,0.49134349822998047,0.7536675333976746,0.8360514640808105
Mode_2,2,0.6119066476821899,0.5717387199401855,0.7153335213661194
Mode_2,3,0.734967052936554,0.6578333377838135,0.704109251499176
Mode_3,1,0.39514580368995667,0.8629145622253418,0.41901206970214844
Mode_3,2,0.4740220308303833,0.6354955434799194,0.40362200140953064
Mode_3,3,0.4891793727874756,0.48273372650146484,0.7400267720222473
