Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L5_M2_850nm,0.8037867846399581,29.627934,0.3761637,0.00040981086,917.8959,0.901893392319979
L1_M1_850nm,0.11361123889238989,39.892395,0.013276593,1.3609655e-06,9755.275,0.556805619446195
L2_M1_850nm,0.7275377318353085,30.311466,0.20473887,0.00019056968,1074.3517,0.8637688659176542
L4_M3_850nm,0.8290042405565803,28.235622,0.3191818,0.00047915496,666.1348,0.9145021202782901
L1_M3_850nm,0.24300428320344902,21.705555,0.034753084,0.00023465924,148.10022,0.6215021416017246
L4_M2_850nm,0.7766191805077621,30.942518,0.36343297,0.00029253142,1242.3724,0.8883095902538811
L3_M1_850nm,0.9313210947026656,31.966402,0.3950915,0.0002512219,1572.6793,0.9656605473513328
L3_M2_850nm,0.7914511270402524,32.44721,0.40339792,0.00022962161,1756.7942,0.8957255635201262
L4_M1_850nm,0.9088110891516302,30.532095,0.3404743,0.00030121367,1130.3414,0.9544055445758151
L2_M3_850nm,0.8822868847238612,32.76403,0.46708894,0.00024717054,1889.7435,0.9411434423619306
L2_M2_850nm,0.7984018179859197,35.349686,0.437964,0.00012778214,3427.4272,0.8992009089929598
L5_M1_850nm,0.9268420951706129,29.927078,0.36535788,0.00037154436,983.34924,0.9634210475853064
L1_M2_850nm,0.09533869855469171,32.759624,0.015971772,8.460391e-06,1887.8291,0.5476693492773459
L3_M3_850nm,0.8350640783707487,29.711555,0.35697,0.0003814839,935.7407,0.9175320391853743
L5_M3_850nm,0.8350478482985378,27.570677,0.32416698,0.00056715414,571.5677,0.917523924149269
