Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L4_M1_850nm,0.9140003890306211,37.96771,0.8950961,0.00014292191,6262.8335,0.9570001945153106
L3_M2_850nm,0.7251038055370569,40.84884,0.6505512,5.3505442e-05,12158.599,0.8625519027685284
L1_M2_850nm,0.5492456459349866,51.517673,0.2823809,1.9909855e-06,141829.72,0.7746228229674933
L5_M1_850nm,0.533029117648707,34.06101,0.59983313,0.00023546666,2547.4226,0.7665145588243535
L2_M3_850nm,0.7837828934535584,38.00262,0.6095385,9.654709e-05,6313.3804,0.8918914467267792
L1_M1_850nm,0.2514975372610895,43.786713,0.06911959,2.8902136e-06,23915.045,0.6257487686305447
L3_M3_850nm,0.8670310189572376,37.929253,0.9760644,0.0001572365,6207.6196,0.9335155094786187
L2_M1_850nm,0.37789645159054136,32.140076,0.13502559,8.249138e-05,1636.8448,0.6889482257952707
L5_M2_850nm,0.7118642847183478,38.157326,1.2244786,0.00018716238,6542.333,0.8559321423591739
L3_M1_850nm,0.760351169583911,33.952934,0.33008948,0.00013284288,2484.8113,0.8801755847919555
L4_M2_850nm,0.777823668873739,39.134247,0.7905392,9.649366e-05,8192.654,0.8889118344368695
L4_M3_850nm,0.7566029144843994,33.980465,0.6748735,0.00026988325,2500.6125,0.8783014572421997
L2_M2_850nm,0.7373340870208415,43.834972,0.65266705,2.698947e-05,24182.285,0.8686670435104207
L1_M3_850nm,0.654590417610597,39.199844,0.29298675,3.5226032e-05,8317.336,0.8272952088052985
L5_M3_850nm,0.9204230875555891,34.879784,0.9501745,0.00030890512,3075.9429,0.9602115437777945
