Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L4_M2_1550nm,0.4590171385881849,27.17506,0.36784893,0.0007049587,521.8021,0.7295085692940925
L5_M1_1550nm,0.4375699112159549,20.790913,0.079648696,0.00066387665,119.97514,0.7187849556079775
L2_M3_1550nm,0.6744368909935567,26.987602,0.28589943,0.0005720752,499.75848,0.8372184454967784
L4_M1_1550nm,0.7066429158280477,25.557114,0.20140027,0.0005602073,359.51025,0.8533214579140238
L1_M1_1550nm,0.47948219581143914,20.814194,0.08269542,0.0006855862,120.62002,0.7397410979057195
L5_M3_1550nm,0.9097226540057562,25.634491,0.30422392,0.0008312739,365.97314,0.9548613270028781
L3_M2_1550nm,0.6333006610664367,28.483877,0.40570804,0.0005752092,705.3226,0.8166503305332183
L1_M2_1550nm,0.6657363812003398,27.087355,0.29944766,0.00058557896,511.37024,0.8328681906001699
L2_M2_1550nm,0.6154433470915893,29.355194,0.3781124,0.00043863308,862.02435,0.8077216735457946
L5_M2_1550nm,0.6501494594394366,27.91592,0.4477599,0.00072352437,618.85944,0.8250747297197183
L2_M1_1550nm,0.2529018047132134,20.71856,0.047588162,0.00040331375,117.992905,0.6264509023566067
L1_M3_1550nm,0.36048929821053805,21.749027,0.09190429,0.00061437424,149.59007,0.680244649105269
L3_M3_1550nm,0.8036739895665322,27.821796,0.40593147,0.00067030615,605.5911,0.9018369947832661
L3_M1_1550nm,0.22854572394729114,19.758278,0.05377308,0.00056850875,94.5862,0.6082298152607702
L4_M3_1550nm,0.8308775679546756,26.124065,0.31861562,0.000777787,409.6438,0.9154387839773378
