Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L5_M2_1550nm,0.6478434064749463,32.00314,0.6240274,0.00039345035,1586.0385,0.8239217032374732
L3_M2_1550nm,0.5296367369445074,33.221863,0.5950051,0.00028335734,2099.84,0.7648183684722537
L3_M1_1550nm,0.3196811050347616,27.149128,0.12725551,0.0002453374,518.6959,0.6598405525173808
L2_M1_1550nm,0.25413976050292636,27.070152,0.11133549,0.00021858397,509.34885,0.6270698802514632
L4_M2_1550nm,0.4903683781787022,32.87467,0.723326,0.0003731361,1938.5045,0.7451841890893511
L4_M1_1550nm,0.7275843698642084,27.51545,0.20297055,0.00035965667,564.3453,0.8637921849321042
L2_M3_1550nm,0.5799239076727711,32.232254,0.39213318,0.00023453534,1671.9578,0.7899619538363856
L5_M3_1550nm,0.9421614923868762,30.328081,0.5789118,0.00053679,1078.4697,0.9710807461934381
L3_M3_1550nm,0.807535530641449,30.635796,0.42113125,0.00036377914,1157.6564,0.9037677653207246
L1_M2_1550nm,0.530122328233771,34.50736,0.43063965,0.00015253804,2823.1624,0.7650611641168855
L5_M1_1550nm,0.29683168434249474,22.11662,0.068700194,0.0004219842,162.80276,0.6484158421712474
L4_M3_1550nm,0.5138127872154772,26.424927,0.21188648,0.0004826256,439.0287,0.7569063936077386
L1_M3_1550nm,0.5523365639476062,34.17767,0.42028815,0.00016061284,2616.778,0.7761682819738032
L1_M1_1550nm,0.28998272599013086,27.341604,0.10976688,0.00020244681,542.20105,0.6449913629950654
L2_M2_1550nm,0.6629798593088334,35.22779,0.61279875,0.00018388178,3332.569,0.8314899296544167
