Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L1_M1_1310nm,0.48220598662608344,40.02039,0.12300685,1.22430765e-05,10047.054,0.7411029933130417
L3_M1_1310nm,0.5464540830721344,30.688347,0.15374212,0.00013120731,1171.7496,0.7732270415360671
L2_M1_1550nm,0.19654406879556724,23.236797,0.047696147,0.00022636204,210.70735,0.5982720343977836
L3_M3_1310nm,0.7439431251860172,32.20064,0.26904237,0.00016209015,1659.8318,0.8719715625930087
L4_M2_1550nm,0.586022642342108,24.096981,0.16780716,0.00065329974,256.8609,0.793011321171054
L5_M3_1550nm,0.14492716250278287,14.893393,0.029065976,0.0009419888,30.855968,0.4447983893625822
L1_M1_1550nm,0.3063489200584768,24.431248,0.06124554,0.00022077485,277.41174,0.6531744600292384
L5_M1_1310nm,0.5188318747422987,26.578415,0.13650505,0.00030012854,454.82196,0.7594159373711493
L1_M3_1310nm,0.2955696707050074,35.823826,0.106305085,2.780811e-05,3822.8088,0.6477848353525038
L3_M1_1550nm,0.12506916101204055,16.221954,0.018913291,0.0004514105,41.89821,0.46808345106952737
L3_M3_1550nm,0.4109881752681658,21.763002,0.09153995,0.0006099725,150.07225,0.705494087634083
L5_M3_1310nm,0.7386025027855417,27.025145,0.19237031,0.00038161347,504.09726,0.8693012513927709
L3_M2_1310nm,0.5672856233052344,35.758827,0.47820416,0.00012697864,3766.0203,0.7836428116526172
L2_M2_1310nm,0.548506298334425,37.498222,0.34262285,6.095285e-05,5621.113,0.7742531491672124
L2_M2_1550nm,0.2817852312661896,24.950811,0.10742869,0.00034358885,312.6664,0.6408926156330947
L4_M1_1310nm,0.45201190227151955,27.00717,0.10559926,0.00021035067,502.01532,0.7260059511357597
L5_M2_1550nm,0.2321471709266898,17.236134,0.046320353,0.00087530335,52.9192,0.5469769308097957
L2_M3_1310nm,0.5150560618280547,34.288315,0.26924357,0.00010030296,2684.3032,0.7575280309140273
L5_M1_1550nm,0.084254259745431,13.273325,0.013969088,0.0006574089,21.248705,0.3739602540334821
L1_M2_1310nm,0.7823105831493575,43.663742,0.46988523,2.0212396e-05,23247.379,0.8911552915746788
L1_M3_1550nm,0.22309070735716094,22.665823,0.056433517,0.00030546045,184.74902,0.6115453536785804
L2_M3_1550nm,0.17172210828862766,21.710014,0.059843913,0.0004036626,148.25232,0.5858610541443139
L1_M2_1550nm,0.65694333083454,32.115017,0.2602832,0.00015993525,1627.4286,0.82847166541727
L4_M2_1310nm,0.4366026783336663,32.11884,0.3271466,0.00020084371,1628.8615,0.7183013391668331
L4_M3_1310nm,0.6717711460101514,29.797113,0.25077125,0.00026276437,954.3579,0.8358855730050757
L4_M1_1550nm,0.10106318886477249,15.838027,0.019666998,0.0005127851,38.353294,0.4464822694430674
L2_M1_1310nm,0.29252951434323143,32.78347,0.10106231,5.3240503e-05,1898.2224,0.6462647571716157
L3_M2_1550nm,0.14152754173788606,19.274574,0.04981741,0.0005887404,84.616936,0.5526281338240364
L4_M3_1550nm,0.18894094900881503,17.540724,0.04462721,0.00078618963,56.763924,0.5329885814418159
L5_M2_1310nm,0.49776133246426035,27.582218,0.18429972,0.0003215902,573.08875,0.7488806662321301
