Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L2_M3_1550nm,0.5453373774711113,27.168396,0.20755996,0.00039838598,521.00214,0.7726686887355556
L4_M2_1550nm,0.36270693701340806,23.574692,0.15692651,0.00068901293,227.75554,0.681353468506704
L1_M1_1550nm,0.3713659408097351,22.761478,0.06395161,0.00033861297,188.86345,0.6856829704048676
L3_M2_1550nm,0.4493412058430684,23.590517,0.13339978,0.0005835842,228.58705,0.7246706029215342
L5_M1_1550nm,0.11063649354462884,15.19355,0.021025466,0.0006359026,33.063972,0.43515701143982544
L1_M3_1550nm,0.28983933125597217,24.850885,0.10029498,0.00032823934,305.5544,0.6449196656279861
L4_M3_1550nm,0.30041646229515734,21.404743,0.09261066,0.0006701727,138.18924,0.6502082311475786
L1_M2_1550nm,0.5371235641814375,26.253397,0.1659325,0.00039318038,422.02643,0.7685617820907187
L4_M1_1550nm,0.4055539623328493,22.004742,0.075269654,0.00047440102,158.6625,0.7027769811664246
L3_M3_1550nm,0.5857470614326876,24.449455,0.15539089,0.000557802,278.57715,0.7928735307163438
L2_M1_1550nm,0.22097519546381447,21.925205,0.049298212,0.00031645392,155.78322,0.6104875977319072
L2_M2_1550nm,0.5011811651911117,26.37337,0.21841002,0.00050342584,433.84744,0.7505905825955559
L5_M2_1550nm,0.3236660254373253,21.415092,0.10466286,0.00075558486,138.519,0.6618330127186627
L5_M3_1550nm,0.5016751723438638,20.548075,0.094640195,0.000834196,113.45079,0.7508375861719319
L3_M1_1550nm,0.22891365249217765,20.983814,0.052315533,0.00041710847,125.424286,0.6144568262460888
