Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L5_M1_1310nm,0.6828509132487429,23.088104,0.08445872,0.0004147956,203.61528,0.8414254566243715
L2_M1_1310nm,0.1907956325288249,28.25445,0.047966,7.169494e-05,669.02905,0.5953978162644125
L4_M2_1550nm,0.0795694373683471,13.513845,0.018629132,0.00082948414,22.458696,0.3776308488168487
L5_M3_1550nm,0.059488718290774824,11.844815,0.014235741,0.00093089056,15.292604,0.3258647345402086
L4_M2_1310nm,0.593485722699227,24.215553,0.12604924,0.0004775128,263.97037,0.7967428613496135
L3_M3_1310nm,0.46089458597408156,33.098072,0.3444833,0.00016879561,2040.8308,0.7304472929870408
L4_M3_1550nm,0.12473777257323472,16.517265,0.034884967,0.00077787845,44.846294,0.47530050736129387
L5_M2_1310nm,0.4219811616123517,20.922825,0.07666042,0.00061985286,123.675186,0.7109905808061758
L1_M1_1550nm,0.40064978223362835,23.474653,0.076845765,0.00034526672,222.56929,0.7003248911168142
L2_M1_1550nm,0.32143073555947543,22.068214,0.07923115,0.000492124,160.99835,0.6607153677797377
L4_M1_1310nm,0.20426748587403112,18.969757,0.031465743,0.00039889847,78.881584,0.5763776818598977
L3_M3_1550nm,0.22818406239761932,21.384546,0.08214288,0.00059719366,137.54814,0.6140920311988096
L5_M3_1310nm,0.28040492581045656,27.202568,0.16857094,0.00032101542,525.11786,0.6402024629052283
L2_M3_1310nm,0.3082570436911432,35.46183,0.32621038,9.2750226e-05,3517.0845,0.6541285218455716
L4_M3_1310nm,0.4988134120955236,30.424948,0.26941863,0.00024430532,1102.7948,0.7494067060477618
L4_M1_1550nm,0.1420722559907112,17.71714,0.03355915,0.0005676712,59.117233,0.5139646210182743
L1_M1_1310nm,0.2943927466511022,42.133793,0.09331826,5.709358e-06,16344.791,0.6471963733255511
L2_M3_1550nm,0.42163776033484635,25.07158,0.17873219,0.0005559614,321.4831,0.7108188801674231
L2_M2_1310nm,0.2161624636394669,25.11342,0.08796104,0.00027098693,324.59515,0.6080812318197335
L3_M1_1310nm,0.2136160574540814,25.547958,0.046362523,0.00012923234,358.75323,0.6068080287270408
L1_M2_1310nm,0.18588833207599395,33.020054,0.058025364,2.8947581e-05,2004.4978,0.5929441660379969
L1_M3_1310nm,0.5127583240718313,47.255196,0.3246159,6.107309e-06,53152.03,0.7563791620359157
L2_M2_1550nm,0.13305087760261047,17.724756,0.037484773,0.0006329644,59.220978,0.5096443388619589
L3_M1_1550nm,0.23434224283274377,20.056145,0.04941029,0.0004877562,101.30121,0.6171711214163719
L5_M1_1550nm,0.07557241111889001,13.617483,0.015835332,0.00068846025,23.001083,0.37822328999586163
L3_M2_1550nm,0.1707218912631697,18.40982,0.051651362,0.0007449031,69.33971,0.5456064655080649
L3_M2_1310nm,0.17086194860675644,21.454107,0.05220474,0.00037350738,139.76897,0.5854309743033782
L1_M2_1550nm,0.24872748987987478,20.272074,0.058620006,0.0005506028,106.46514,0.6243637449399374
L5_M2_1550nm,0.04631584548854578,11.627836,0.013190422,0.00090672384,14.547342,0.31385382842969767
L1_M3_1550nm,0.5051222705219304,26.364136,0.19847782,0.0004584569,432.9258,0.7525611352609651
