Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L2_M3_850nm,0.8623536033715733,33.678814,0.4320764,0.0001852162,2332.8218,0.9311768016857866
L5_M1_850nm,0.8852031414314482,30.45624,0.33982092,0.0003059328,1110.7698,0.942601570715724
L3_M3_850nm,0.8415076996173174,31.897655,0.38050517,0.0002458075,1547.9803,0.9207538498086587
L3_M1_850nm,0.8992319553040734,33.610302,0.41564417,0.00018100544,2296.3076,0.9496159776520368
L4_M1_850nm,0.9094892071339965,32.597942,0.3939332,0.00021658499,1818.839,0.9547446035669982
L5_M2_850nm,0.6184105618496889,30.213346,0.29820096,0.00028390595,1050.3512,0.8092052809248445
L2_M2_850nm,0.6950537790925535,39.14657,0.38528535,4.6894922e-05,8215.929,0.8475268895462768
L1_M1_850nm,0.14004336113481433,34.54236,0.02152122,7.5618996e-06,2846.007,0.5700216805674072
L4_M3_850nm,0.840217315429545,30.22753,0.39291477,0.00037285956,1053.7876,0.9201086577147726
L3_M2_850nm,0.7759960850890674,34.827114,0.39844584,0.0001311166,3038.8665,0.8879980425445337
L1_M3_850nm,0.12571012887605307,41.40928,0.020475611,1.4801615e-06,13833.363,0.5628550644380266
L5_M3_850nm,0.8538032225827092,29.916367,0.4110684,0.00041906122,980.9269,0.9269016112913546
L1_M2_850nm,0.33689392931811724,36.399075,0.07931414,1.8173687e-05,4364.2295,0.6684469646590586
L4_M2_850nm,0.7620970995602445,34.097225,0.430452,0.00016757225,2568.7546,0.8810485497801223
L2_M1_850nm,0.4976148479461549,30.254482,0.12872422,0.000121398145,1060.3475,0.7488074239730774
