Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L3_M1_1550nm,0.11578688291125268,13.860548,0.017984666,0.00073934573,24.32511,0.4044071300199269
L4_M3_1550nm,0.10984376181788573,13.047891,0.02344396,0.0011620958,20.17386,0.38111914748761716
L5_M1_1550nm,0.0717469816272553,12.046896,0.013703617,0.00085535354,16.020998,0.3370458962949662
L4_M2_1310nm,0.7265798297040932,26.509644,0.39229715,0.00087629625,447.6764,0.8632899148520465
L4_M3_1310nm,0.7662866929122713,25.406263,0.3019079,0.000869457,347.23727,0.8831433464561356
L4_M1_1550nm,0.0789407408897414,11.813493,0.011756127,0.0007743102,15.18271,0.33480768981895515
L2_M3_1310nm,0.7771994715047429,25.393902,0.24945876,0.0007204579,346.2503,0.8885997357523714
L1_M3_1310nm,0.2911416034767017,17.401405,0.042509325,0.0007732924,54.971867,0.5806059410606317
L1_M1_1550nm,0.1671437658504775,12.303596,0.013569182,0.0007983514,16.996502,0.39116177149793163
L3_M1_1310nm,0.3748642460330489,20.40609,0.0719149,0.0006549528,109.80165,0.6874321230165245
L2_M2_1310nm,0.5824948027837151,24.920311,0.22032928,0.0007096448,310.47827,0.7912474013918576
L3_M3_1310nm,0.8809624524819749,26.31633,0.34429616,0.0008040797,428.1866,0.9404812262409874
L2_M3_1550nm,0.1554386130523309,16.16499,0.0376649,0.0009108312,41.35223,0.4818440433120541
L5_M3_1310nm,0.8839980614416708,24.397968,0.26021805,0.0009452366,275.2941,0.9419990307208355
L1_M2_1550nm,0.2358740277893966,15.535597,0.032516222,0.00090895104,35.77335,0.5063269291225883
L2_M2_1550nm,0.2273322458335849,16.172945,0.04136621,0.0009985075,41.42804,0.5179897604022966
L3_M3_1550nm,0.11827393954390457,14.000682,0.027921738,0.0011114101,25.122805,0.40915401073989355
L2_M1_1310nm,0.18063056190040397,16.79682,0.026620494,0.0005565883,47.82798,0.5102357850433722
L4_M2_1550nm,0.30962006015888244,17.662249,0.06594164,0.0011296268,58.374714,0.5963662453656962
L3_M2_1550nm,0.20540955998965127,17.157118,0.054580905,0.0010503379,51.96509,0.5316327380064528
L3_M2_1310nm,0.7029830630181153,25.682943,0.2856002,0.0007717279,370.0789,0.8514915315090577
L1_M2_1310nm,0.3747718898858297,20.893307,0.06159497,0.0005014348,122.83745,0.6873859449429148
L1_M3_1550nm,0.1628069692691285,14.382521,0.024970105,0.00091026584,27.431662,0.44096650748650823
L5_M2_1550nm,0.47265802045246313,19.552774,0.10309423,0.0011427648,90.21474,0.7251483709592638
L5_M3_1550nm,0.073031150317858,11.749413,0.01670095,0.0011163489,14.960332,0.3302509004953853
L1_M1_1310nm,0.10122978848376503,12.805668,0.011358426,0.0005953211,19.079494,0.37075659713227865
L5_M1_1310nm,0.6055977911950099,20.643818,0.08874963,0.0007652173,115.979645,0.802798895597505
L4_M1_1310nm,0.5653634546588657,21.41396,0.10264458,0.0007412076,138.4829,0.7826817273294329
L2_M1_1550nm,0.13064354777936726,14.511653,0.019706324,0.0006973331,28.259558,0.4281131035119523
L5_M2_1310nm,0.714109380737349,25.55477,0.33366498,0.0009286107,359.31635,0.8570546903686744
