Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L2_M2_850nm,0.3606828567124383,58.370403,0.3927533,5.715829e-07,687132.7,0.6803414283562191
L2_M3_850nm,0.40121135176712586,54.577385,0.33202985,1.1572812e-06,286905.06,0.7006056758835629
L4_M2_850nm,0.509639626334929,58.278793,0.43945456,6.531823e-07,672790.0,0.7548198131674645
L2_M1_850nm,0.4003195208485731,55.24025,0.2459574,7.359272e-07,334214.3,0.7001597604242865
L4_M1_850nm,0.6328342810109313,48.948044,0.3116961,3.9712477e-06,78488.21,0.8164171405054657
L1_M2_850nm,0.6414849611941225,58.29817,0.3094447,4.5789554e-07,675797.56,0.8207424805970612
L5_M2_850nm,0.6138122441344943,51.797897,0.345527,2.2839813e-06,151282.77,0.8069061220672471
L4_M3_850nm,0.504867063206791,48.26718,0.31017205,4.6225796e-06,67099.34,0.7524335316033954
L3_M1_850nm,0.6139909078066594,54.09195,0.34461975,1.3432148e-06,256563.4,0.8069954539033297
L1_M1_850nm,0.46905492575586355,58.73546,0.17075442,2.284685e-07,747387.1,0.7345274628779318
L1_M3_850nm,0.3097014060299718,58.166813,0.14785942,2.2551106e-07,655663.75,0.6548507030149859
L5_M3_850nm,0.5466209879675059,43.397575,0.36007643,1.646786e-05,21865.404,0.773310493983753
L3_M3_850nm,0.5825861921109231,53.249763,0.3658572,1.7311518e-06,211337.45,0.7912930960554616
L3_M2_850nm,0.5423146285053434,58.808895,0.35893902,4.7220593e-07,760132.4,0.7711573142526718
L5_M1_850nm,0.5139718832185133,43.950447,0.30779874,1.23943055e-05,24833.885,0.7569859416092566
