Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L3_M3_1310nm,0.6173724133154005,29.686728,0.20654386,0.00022199315,930.4065,0.8086862066577003
L2_M2_1550nm,0.25935066394982,23.674067,0.088259034,0.00037874992,233.0272,0.62967533197491
L2_M3_1310nm,0.463862774402826,32.885223,0.2457398,0.00012646006,1943.2207,0.731931387201413
L4_M2_1550nm,0.5379176187509401,23.906782,0.15698686,0.0006385357,245.85448,0.76895880937547
L2_M1_1550nm,0.16240116257673654,21.766678,0.041013863,0.00027306305,150.19923,0.5812005812883683
L5_M1_1310nm,0.39414483953504403,23.499441,0.080012426,0.00035744836,223.84332,0.697072419767522
L1_M3_1550nm,0.25857039577572843,21.70259,0.0527749,0.00035658927,147.99911,0.6292851978878642
L4_M2_1310nm,0.4659484479226182,31.810139,0.37610775,0.00024791257,1517.0984,0.7329742239613091
L2_M1_1310nm,0.15762376558999378,29.158775,0.05854741,7.1060815e-05,823.9057,0.5788118827949968
L2_M2_1310nm,0.4694233674295388,34.639496,0.23033506,7.91426e-05,2910.3801,0.7347116837147694
L3_M2_1550nm,0.18194426250417708,19.119684,0.04596396,0.00056292315,81.65228,0.5689642486570263
L3_M2_1310nm,0.5530913315245329,33.66099,0.4222618,0.0001817535,2323.2666,0.7765456657622665
L4_M3_1550nm,0.1583682168366101,17.049244,0.04062285,0.00080139365,50.690254,0.5054151946724249
L4_M3_1310nm,0.45528143317789893,27.404621,0.188893,0.0003433633,550.1258,0.7276407165889495
L5_M2_1310nm,0.3360021105223187,24.959755,0.13025852,0.00041574845,313.31088,0.6680010552611594
L5_M3_1310nm,0.696979408352623,25.963684,0.1781695,0.0004512998,394.7919,0.8484897041763115
L1_M3_1310nm,0.28700189043295365,32.7446,0.06650807,3.5352034e-05,1881.3082,0.6435009452164768
L4_M1_1550nm,0.12485961739032714,16.450996,0.023138547,0.00052388554,44.16718,0.4737047186683081
L5_M3_1550nm,0.1633904255468807,15.930214,0.03662296,0.0009348287,39.176117,0.4799505609790068
L1_M2_1550nm,0.3522214212053219,28.180628,0.12382056,0.00018824784,657.75287,0.6761107106026609
L4_M1_1310nm,0.295654619066268,24.46274,0.07260355,0.00025982675,279.43063,0.6478273095331339
L1_M2_1310nm,0.6385021648473214,40.507626,0.22299194,1.9839312e-05,11239.903,0.8192510824236607
L1_M1_1310nm,0.38786422302586976,37.82497,0.06481293,1.0694599e-05,6060.3423,0.6939321115129349
L3_M1_1550nm,0.1330652926130156,17.559788,0.026923018,0.00047222074,57.01363,0.5055273519835403
L5_M2_1550nm,0.31806267375285063,19.206003,0.0711576,0.0008543207,83.291435,0.6391814106431337
L2_M3_1550nm,0.10973820930380833,20.008821,0.0398376,0.00039756752,100.203354,0.5548691046519042
L1_M1_1550nm,0.2168259559708615,21.894999,0.03365852,0.0002175681,154.70337,0.6084129779854307
L3_M3_1550nm,0.4111477468440587,21.598738,0.08955166,0.00061972614,144.50198,0.7055738734220294
L5_M1_1550nm,0.10771242354674136,14.311276,0.017245833,0.00063908193,26.985323,0.41163812863013644
L3_M1_1310nm,0.27487389966115344,25.669067,0.06381074,0.00017297648,368.89838,0.6374369498305767
