Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L5_M1_850nm,0.536465437337045,47.439316,0.39305243,7.0879155e-06,55453.883,0.7682327186685225
L1_M3_850nm,0.32731185760550496,58.170986,0.16649108,2.5368362e-07,656294.1,0.6636559288027525
L1_M1_850nm,0.5766024675917716,58.360825,0.26010823,3.7937752e-07,685618.44,0.7883012337958858
L3_M2_850nm,0.7678533859771516,58.430923,1.0637558,1.5266855e-06,696774.6,0.8839266929885758
L4_M3_850nm,0.7790598363397216,54.033813,0.91643775,3.6201084e-06,253152.02,0.8895299181698608
L4_M2_850nm,0.5396984601386805,58.327747,0.70623213,1.0379418e-06,680415.9,0.7698492300693403
L3_M3_850nm,0.8427924239167733,58.17462,0.8539249,1.3000424e-06,656843.9,0.9213962119583867
L1_M2_850nm,0.6404135838508925,58.41156,0.67536247,9.736003e-07,693675.25,0.8202067919254463
L2_M2_850nm,0.3615626660629734,58.914413,0.73658377,9.4576e-07,778827.4,0.6807813330314867
L4_M1_850nm,0.6038929798903755,51.786552,0.49302745,3.2675043e-06,150888.08,0.8019464899451878
L3_M1_850nm,0.7509742951407025,57.366974,0.49221537,9.025226e-07,545377.4,0.8754871475703512
L2_M1_850nm,0.44441296853604273,57.432743,0.30779678,5.558911e-07,553699.75,0.7222064842680214
L5_M2_850nm,0.711948943734286,55.76218,0.65617347,1.7410081e-06,376892.84,0.8559744718671429
L2_M3_850nm,0.4549538934141204,57.275394,0.5147003,9.638616e-07,533998.1,0.7274769467070602
L5_M3_850nm,0.6587617560332669,48.277164,0.67022187,9.965576e-06,67253.695,0.8293808780166334
