Configuration,Focus_Concentration,SNR_dB,Signal_Power,Noise_Power,Contrast_Ratio,Combined_Score
L4_M2_850nm,0.6872783325562459,36.80612,0.37253487,7.772389e-05,4793.055,0.843639166278123
L5_M3_850nm,0.7917647352175521,30.94389,0.3275902,0.0002635979,1242.7648,0.895882367608776
L5_M1_850nm,0.8266289437566134,32.779842,0.3311552,0.00017460131,1896.6364,0.9133144718783067
L1_M3_850nm,0.2131886015325491,41.904312,0.05443778,3.5113123e-06,15503.542,0.6065943007662745
L1_M2_850nm,0.44464382956673487,49.141254,0.22236575,2.7098333e-06,82058.83,0.7223219147833675
L1_M1_850nm,0.1727239997369576,43.210793,0.049792346,2.3772957e-06,20944.953,0.5863619998684788
L4_M3_850nm,0.7051713879279456,32.638363,0.34432778,0.00018755805,1835.8464,0.8525856939639729
L3_M2_850nm,0.6415491773512955,39.454704,0.4191501,4.752247e-05,8820.041,0.8207745886756477
L5_M2_850nm,0.5269436531200237,33.46722,0.3033753,0.0001365395,2221.8867,0.7634718265600118
L4_M1_850nm,0.8357456043900985,34.462494,0.34462923,0.00012333966,2794.1477,0.9178728021950493
L2_M3_850nm,0.7292000798284902,36.34931,0.35887387,8.3178384e-05,4314.509,0.864600039914245
L3_M3_850nm,0.7147521922348773,33.861404,0.33079088,0.00013596067,2432.9895,0.8573760961174386
L2_M2_850nm,0.5360601783794551,47.359848,0.4095296,7.5214334e-06,54448.344,0.7680300891897276
L2_M1_850nm,0.5930241569314552,38.09746,0.2304052,3.570639e-05,6452.772,0.7965120784657276
L3_M1_850nm,0.5254075352325078,34.59617,0.2530296,8.781218e-05,2881.4866,0.7627037676162539
